Accept acceptance
Confirm confirmation
Adjust X
Advice advice
Birthday X
Announce announcement
Apologize apology
Apply application
Appointment appointment
Appreciate appreciation
Late X
Collect collection
Complaint complaint
Congrat congratulation
Contract X
CoverLetters cover
Credit credit
Disagree X
ToEditor X
E-mail X
Employ X
Family X
Fax X
Follow-up follow-up
RaiseFund X
Get-well getwell
Goodwill goodwill
Holiday holiday
Instruct X
Introduce introduction
Invite invitation
Love love
Memos X
ToNeighbor X
Order order
Club X
Query X
Refer referral
Refuse refusal
Report X
Request request
Respond response
Resume X
Sales sales
Sensitive X
Sympathy sympathy
Thank-you thank-you
Travel X
Wedding X
Welcome welcome
